# Playlist: Disturbed Radio
№,Песня,Артист,Альбом
1,Stricken,Disturbed,Ten Thousand Fists
2,Dragula,Rob Zombie,Hellbilly Deluxe
3,I Am Machine,Three Days Grace,Human
4,You're Going Down,SICK PUPPIES,Tri-Polar (International Version)
5,Boom,P.O.D.,Satellite (U.S. Version)
6,Indestructible,Disturbed,Indestructible (Deluxe Edition)
7,A Warrior's Call,Volbeat,Beyond Hell / Above Heaven
8,Before I Forget,Slipknot,Vol. 3: The Subliminal Verses (Special Edition)
9,Dead Inside,"David Draiman, Disturbed, Nita Strauss",Dead Inside
10,Walk,Pantera,Vulgar Display of Power
11,Down with the Sickness,Disturbed,The Sickness
12,Youth of the Nation,P.O.D.,Satellite (U.S. Version)
13,Coming Undone,Korn,See You On the Other Side
14,Holy Diver,Killswitch Engage,As Daylight Dies (Special Edition)
15,The Devil in I,Slipknot,.5: The Gray Chapter (Special Edition)
16,The Vengeful One,Disturbed,Immortalized (Deluxe Edition)
17,Die MF Die,Dope,Life
18,Alive - Chris Lord-Alge Mix,P.O.D.,Satellite (U.S. Version)
19,The Devil's Bleeding Crown,Volbeat,Seal The Deal & Let's Boogie (Deluxe)
20,One Step Closer,Linkin Park,Hybrid Theory (Bonus Edition)
21,Inside the Fire,Disturbed,Indestructible (Deluxe Edition)
22,Duality,Slipknot,Vol. 3: The Subliminal Verses (Special Edition)
23,Smooth Criminal,Alien Ant Farm,Anthology
24,Happy?,Mudvayne,Lost and Found
25,Still Counting,Volbeat,Guitar Gangsters & Cadillac Blood
26,Ten Thousand Fists,Disturbed,Ten Thousand Fists
27,Take A Look Around,Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water
28,Never Too Late,Three Days Grace,One-X
29,The Beautiful People,Marilyn Manson,Antichrist Superstar
30,They Don't Care About Us,Saliva,"Love, Lies & Therapy"
31,Immortalized,Disturbed,Immortalized (Deluxe Edition)
32,Unsainted,Slipknot,We Are Not Your Kind
33,Rollin' (Air Raid Vehicle),Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water
34,Papercut,Linkin Park,Hybrid Theory (Bonus Edition)
35,This Is The New Shit,Marilyn Manson,The Golden Age Of Grotesque
36,Land of Confusion,Disturbed,Ten Thousand Fists
37,Click Click Boom,Saliva,Every Six Seconds
38,Riot,Three Days Grace,One-X
39,Superbeast,Rob Zombie,Hellbilly Deluxe
40,The Only,Static-X,Shadow Zone
41,Warrior,Disturbed,Asylum (Deluxe Edition)
42,Psychosocial,Slipknot,All Hope Is Gone (10th Anniversary)
43,Metalingus,Alter Bridge,One Day Remains
44,The Heart from Your Hate,Trivium,The Sin and the Sentence
45,Undead,Hollywood Undead,Swan Songs
46,Prayer,Disturbed,Believe
47,I Don't Wanna Stop,Ozzy Osbourne,Black Rain (Expanded Edition)
48,My Curse,Killswitch Engage,As Daylight Dies (Special Edition)
49,Bodies,Drowning Pool,Sinner
50,Animal I Have Become,Three Days Grace,One-X
