# Playlist: LikedSongs2025
№,Песня,Артист,Альбом
1,Time is Running Out,Muse,Absolution
2,Vielleicht Vielleicht - Holy Priest & elMefti Remix,"MilleniumKid, JBS, HOLY PRIEST, elMefti",Ravers of Europe
3,Ничего нового (feat. Noize MC),"Atlantida Project, Noize MC",Бездна
4,Out of Touch,Daryl Hall & John Oates,The Singles
5,Бiблiотека,Колос,Kamasutra
6,LOVE AGAIN,Xolidayboy,LOVE AGAIN
7,Мания,Xolidayboy,Мания
8,Моя хулиганка,Xolidayboy,Моя хулиганка
9,Пожары,Xolidayboy,Пожары
10,Undisclosed Desires,Muse,The Resistance
11,labour,Paris Paloma,labour
12,Улица Авеля,Noize MC,Алхимия
13,Kalinka,Noize MC,Kalinka
14,Песня для радио,Noize MC,"The Greatest Hits, Vol. 1"
15,Девочка - скинхед,Noize MC,"The Greatest Hits, Vol. 1"
16,На работе (платят бабло),Noize MC,"The Greatest Hits, Vol. 1"
17,Гимн понаехавших провинциалов,Noize MC,Последний альбом
18,Yes Future!,Noize MC,Новый альбом
19,Вьетнам,Noize MC,Новый альбом
20,Всё как у людей (Bonus Track),Noize MC,Без меня. Трибьют Егору Летову
21,Жвачка - (Video Edit),Noize MC,Неразбериха
22,Без бою,Okean Elzy,Gloria
23,Я так соскучился,Pornofilmy,В диапазоне между отчаянием и надеждой
24,Эмигрант эмигранту,Kasta,Новинки зарубежного рэпа
25,Переживу,Monetochka,Декоративно-прикладное искусство
26,Люди с автоматами,"Swanky Tunes, Monetochka, Noize MC",Люди с автоматами
27,Песня предателя,Noize MC,Выход в город
28,В диапазоне,Pornofilmy,В диапазоне между отчаянием и надеждой
29,Месяц,Palina,Long Play Belarus
30,Русский ковчег,Monetochka,Раскраски для взрослых
31,гори гори гори,Monetochka,гори гори гори
32,Тараканы (Remix),"PALC, BassnPanda",Тараканы (Remix)
33,Тараканы,"PALC, CL1VA",Пагубное влияние
34,На Марсе классно,Noize MC,Последний альбом
35,Alejandro,Lady Gaga,The Fame Monster (Deluxe Edition)
36,Paparazzi,Lady Gaga,The Fame Monster (Deluxe Edition)
37,Telephone,"Lady Gaga, Beyoncé",The Fame Monster (Deluxe Edition)
38,Was wollen wir trinken,dArtagnan,Verehrt und verdammt
39,Звери,Splean,Пыльная быль
40,"Передайте это Гарри Поттеру, если вдруг его встретите",Splean,Вира и майна
41,подруга,кис-кис,подруга
42,мелочь,кис-кис,пир во время чумы
43,молчи,кис-кис,Магазин игрушек для взрослых
44,мальчик,кис-кис,Магазин игрушек для взрослых
45,лбтд,кис-кис,лбтд
46,жиза,кис-кис,юность в стиле панк
47,фарш,кис-кис,юность в стиле панк
48,бывший,кис-кис,юность в стиле панк
49,трахаюсь,кис-кис,юность в стиле панк
50,Je ne t'aime plus,Manu Chao,Clandestino
51,Desaparecido,Manu Chao,Clandestino
52,Clandestino,Manu Chao,Clandestino
53,Bongo Bong,Manu Chao,Clandestino
54,Me Gustas Tu,Manu Chao,Próxima Estación: Esperanza
55,Sub pielea mea - Midi Culture Remix,"Carla's Dreams, Midi Culture",Sub pielea mea (Midi Culture Remix)
56,Clandestina (feat. Emma Peters) - Cocaina Remix,"FILV, Edmofo, Emma Peters",Clandestina (feat. Emma Peters) [Cocaina Remix]
57,SLAY - Skytech Remix,"MAX BARSKIH, Skytech",SLAY (Skytech Remix)
58,"Ты солдат, и на какой бы ты не бился войне",Ангелина Шувалова,"Ты солдат, и на какой бы ты не бился войне"
59,Последняя песня,наоко,Последняя песня
60,"Les rois du monde - Roméo & Juliette, Les enfants de Vérone","Damien Sargue, Cyril Niccolaï, John Eyzen","Roméo Et Juliette, Les enfants de Vérone"
61,XOXO (Kisses Hugs),"6arelyhuman, horrormovies, Pixel Hood",Myspace Addiction
62,Планеты,Давай на ты,3.33
63,Oh No!,MARINA,The Family Jewels
64,Bang Bang Bang Bang,Sohodolls,Ribbed Music for the Numb Generation
65,Smalltown Boy,Bronski Beat,The Age of Consent
66,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,The Queen Is Dead
67,You Give Love A Bad Name,Bon Jovi,Slippery When Wet
68,(I Just) Died In Your Arms,Cutting Crew,Broadcast
69,"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler,Secret Dreams and Forbidden Fire
70,Sweet Dreams (Are Made of This) - 2005 Remaster,"Eurythmics, Annie Lennox, Dave Stewart",Sweet Dreams (Are Made Of This)
71,"Heaven Is a Place on Earth - Promo 7"" Edit",Belinda Carlisle,Heaven on Earth (Deluxe Edition)
72,Material Girl - 2024 Remaster,Madonna,Material Girl (2024 Remaster)
73,Messy,Lola Young,Messy
74,Survival,Muse,The 2nd Law
75,We're Not Gonna Take It,Twisted Sister,Stay Hungry
76,Hey Lover,The Daughters Of Eve,Hey Lover / Stand by Me
77,Vielleicht Vielleicht,"MilleniumKid, JBS",Vielleicht Vielleicht
78,Vielleicht Vielleicht - Hardtekk Edit,"Forsaken, David Emde",Vielleicht Vielleicht (Hardtekk Edit)
79,Sunny Afternoon,The Kinks,Face to Face (Deluxe)
80,Kiss Me Again - Hardstyle - Sped Up,FXLSE,Kiss Me Again - Hardstyle (Remixes)
81,How to Love,Tokio Hotel,How to Love
82,Rock That Body,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [International Version]
83,Friesenjung,David karosanidze,Friesenjung
84,Шелкопряд,Flëur,Флёрография
