# Playlist: В тачку
№,Песня,Артист,Альбом
1,Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends
2,When You Were Young,The Killers,Sam's Town
3,All These Things That I've Done,The Killers,Hot Fuss
4,Smile Like You Mean It,The Killers,Hot Fuss
5,On Top,The Killers,Hot Fuss
6,Mr. Brightside,The Killers,Hot Fuss
7,Dani California,Red Hot Chili Peppers,Stadium Arcadium
8,Human,The Killers,Day & Age (Bonus Tracks)
9,Spaceman,The Killers,Day & Age (Bonus Tracks)
10,Friday I'm In Love,The Cure,Wish
11,Kryptonite,3 Doors Down,The Better Life
12,Rockstar - 2020 Remaster,Nickelback,All The Right Reasons (15th Anniversary Expanded Edition)
13,Last Resort,Papa Roach,Infest
14,Lisztomania,Phoenix,Wolfgang Amadeus Phoenix
15,The Kids Aren't Alright,The Offspring,Americana
16,Pretty Fly (For A White Guy),The Offspring,Americana
17,Just A Girl,No Doubt,Tragic Kingdom
18,Dog Days Are Over,Florence + The Machine,Lungs (Deluxe Version)
19,Just Another Girl,The Killers,Direct Hits
20,A Dustland Fairytale,The Killers,Day & Age (Bonus Tracks)
21,Second Chance,Shinedown,The Sound of Madness
22,Always Where I Need To Be,The Kooks,Konk
23,She Moves In Her Own Way,The Kooks,Inside In / Inside Out
24,Golden Skans,Klaxons,Myths Of The Near Future
25,Pain,Jimmy Eat World,Futures (Deluxe Edition)
26,Murder On The Dancefloor,Sophie Ellis-Bextor,Read My Lips (Deluxe Version)
27,Crying at the Discotheque,Sophie Ellis-Bextor,Crying at the Discotheque
28,Groovejet (If This Ain't Love),"Spiller, Sophie Ellis-Bextor",Groovejet (If This Ain't Love)
29,I Think I'm Paranoid - 2018 Remaster,Garbage,Version 2.0 (20th Anniversary Deluxe Edition)
30,Only Happy When It Rains - 2015 Remaster,Garbage,Garbage (20th Anniversary Super Deluxe Edition)
31,Doll Parts,Hole,Live Through This
32,The World Is Not Enough,Garbage,The World Is Not Enough
33,Bleed Like Me - 2024 Remaster,Garbage,Bleed Like Me (2024 Remaster)
34,Mary On A Cross,Ghost,Seven Inches of Satanic Panic
35,I Wanna Be Yours,Arctic Monkeys,AM
36,Can You Feel My Heart,Bring Me The Horizon,Sempiternal (Expanded Edition)
37,I Was Made For Lovin' You,KISS,Dynasty
38,Forever Young,Alphaville,Forever Young
39,Goodnight Moon,Shivaree,I Oughtta Give You A Shot In The Head For Making Me Live In This Dump
40,Wrong,Depeche Mode,Sounds of The Universe
41,It's No Good,Depeche Mode,Ultra (Deluxe)
42,"Girl, You'll Be a Woman Soon",Urge Overkill,Stull
43,Perfect Day,Lou Reed,Transformer
44,Sing,Travis,The Invisible Band
45,Freelove,Depeche Mode,Exciter (Deluxe)
46,Every You Every Me,Placebo,Without You I'm Nothing
47,Meds,"Placebo, Alison Mosshart",Meds
48,Precious,Depeche Mode,Playing the Angel (Deluxe)
49,In Your Room,Depeche Mode,Songs of Faith and Devotion (Deluxe)
50,The Pretender,Foo Fighters,"Echoes, Silence, Patience & Grace"
51,Hysteria,Muse,Absolution
52,B.Y.O.B.,System Of A Down,Mezmerize
53,Holiday / Boulevard of Broken Dreams,Green Day,American Idiot
54,Give Me Novacaine / She's a Rebel,Green Day,American Idiot
55,Scar Tissue,Red Hot Chili Peppers,Californication (Deluxe Edition)
56,Morgana,Lord Of The Lost,Till Death Us Do Part - Best Of
57,Six Feet Underground,Lord Of The Lost,Till Death Us Do Part - Best Of
58,Red Stars,The Birthday Massacre,Walking With Strangers
59,Girl With One Eye,Florence + The Machine,Lungs (Deluxe Version)
60,Seven Devils,Florence + The Machine,Ceremonials (Original Deluxe Version)
61,What's a Girl to Do?,Bat For Lashes,Fur and Gold
62,Daniel,Bat For Lashes,Two Suns
63,Eyes on Fire,Blue Foundation,Life Of A Ghost
64,Bonfires,Blue Foundation,Sweep Of Days
65,The Band Marches On,Ghostland Observatory,Robotique Majestic
