# Playlist: Сова Radio
№,Песня,Артист,Альбом
1,Песни старых кассет,Сова,В памяти навечно
2,Спектакль окончен,Chernikovskaya Hata,Спектакль окончен
3,Засада,ТВОИ КОШМАРЫ,В волчьей шкуре
4,Висели вместе,Дурной Вкус,Светомузыка
5,Всё было так,Electroforez,505 (Deluxe)
6,Купе,Сова,Главный герой
7,Гипербореи,Чернозём и Звёзды,Гипербореи
8,Шприц,Алексей Вишня,Танцы на битом стекле
9,Можно я с тобой,AP$ENT,Можно я с тобой
10,На пороге крыши,Дела Поважнее,На пороге крыши
11,В памяти навечно,Сова,В памяти навечно
12,Зло,Electroforez,505
13,Машинистам,ТВОИ КОШМАРЫ,Машинистам
14,Звук и темнота,Дурной Вкус,Звук и темнота
15,О добре,"Иван Курочкин, Лэривэйн",О добре
16,Блеск фонарей,Сова,Блеск фонарей
17,Пятница,Дела Поважнее,Пятница
18,Алкоголь мой враг,Electroforez,505 (Deluxe)
19,Страшен и могуч,ТВОИ КОШМАРЫ,В волчьей шкуре
20,Пластинки,Дурной Вкус,Пластинки
21,Остаться,Сова,В памяти навечно
22,Ты не верь слезам,Chernikovskaya Hata,Ты не верь слезам
23,Песня о привязанности,Автоспорт,Береги себя
24,По разбитым зеркалам,"Electroforez, Женя Меркель",505 (Deluxe)
25,Дружба,ТВОИ КОШМАРЫ,Индизай
26,Гроза,Сова,Главный герой
27,Думаешь ты,Дурной Вкус,Светомузыка
28,Белая ночь,Chernikovskaya Hata,Белая ночь
29,4 утра,Ночь. Улица. Фонарь.,Совпадения с поэтами случайны
30,Фейерверк,Electroforez,505 (Deluxe)
31,Первый снег,Сова,В памяти навечно
32,иж-412,radiotehnika,сделано на кухне
33,Не уходи,Дурной Вкус,III
34,Super Star,AP$ENT,Super Star
35,Аптека,Ночь. Улица. Фонарь.,Совпадения с поэтами случайны
36,Главный герой,Сова,Главный герой
37,Мёртв внутри,"Electroforez, Molchat Doma",505
38,Расчёска,Алексей Вишня,Сердце
39,Клуб неуспешных выпускников,Дела Поважнее,Клуб неуспешных выпускников
40,Хот-дог,Созвездие Отрезок,Жиза
41,Сериал,Сова,Сериал
42,Вишня,Ночь. Улица. Фонарь.,Совпадения с поэтами случайны
43,Огнеопасно,ТВОИ КОШМАРЫ,"Жутко громко, Ч. 1"
44,Будь моим смыслом,Flëur,Сияние
45,Светомузыка,Дурной Вкус,Светомузыка
46,Дурак,Сова,В памяти навечно
47,Я пойму,Автоспорт,Я пойму/Дневник
48,Новые вещи,"Peremotka, Сова",Ночь эпохи
49,Снова,Беспокойник,Снова
50,Свидание в галерее,Дивергенция,Принцип суперпозиции
